event,parameter,station,date,min,max,mean,median,total,station_name
Florence,bp,nocrcmet,2018-09-14,28.3782187573825,29.5298842428538,29.0395651232381,29.1017009213324,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-15,29.4412945901252,29.7956532010395,29.6790716788724,29.7070635483109,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-16,29.7956532010395,30.0023623907394,29.9165411646586,29.9137727380109,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-17,29.9433026222537,30.0614221592251,30.0035928025829,30.0023623907394,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-18,29.8251830852823,29.9728325064966,29.9273072682888,29.9433026222537,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-19,29.8547129695252,29.9728325064966,29.9230008268368,29.9137727380109,NA,Research Creek (RC)
Florence,bp,nocrcmet,2018-09-20,29.9728325064966,30.0318922749823,29.9995500208115,30.0023623907394,NA,Research Creek (RC)
Florence,intensprcp,acebpmet,2018-09-12,0,0.236220472440945,0.00372979693327808,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-13,0,0,0,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-14,0,0,0,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-15,0,0.078740157480315,0.00984251968503937,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-16,0,0.047244094488189,0.000984251968503937,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-17,0,0,0,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-18,0,0,0,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-19,0,0.047244094488189,0.000984251968503937,0,NA,Bennett's Point (BP)
Florence,intensprcp,acebpmet,2018-09-20,0,0,0,0,NA,Bennett's Point (BP)
Florence,intensprcp,niwolmet,2018-09-12,0,0.047244094488189,0.00124326564442603,0,NA,Oyster Landing (OL)
